symbol,tf,macd,adx_thr,vol_lb,tgt_vol,IS_Sharpe,IS_MaxDD,IS_Trades,OOS_Sharpe,OOS_MaxDD,OOS_Trades
BTC-USD,1h,8/24/9,20,20,0.015,0.0,-10.454098386015275,661,2.0471163930376974,-2.302822055651599,260
BTC-USD,1h,8/24/9,20,20,0.02,0.0,-10.348604840433717,661,2.0471163930376974,-2.302822055651599,260
BTC-USD,1h,8/24/9,20,30,0.015,0.0,-10.369744272967218,661,2.0471163930376974,-2.302822055651599,260
BTC-USD,1h,8/24/9,20,30,0.02,0.0,-10.291925342866104,661,2.0471163930376974,-2.302822055651599,260
BTC-USD,1h,8/26/9,20,20,0.015,0.0,-11.382346003979404,661,1.7186418047233694,-2.0755552965408763,257
BTC-USD,1h,8/26/9,20,20,0.02,0.0,-11.335668633600982,661,1.7186418047233694,-2.0755552965408763,257
BTC-USD,1h,8/26/9,20,30,0.015,0.0,-11.332321128235801,661,1.7186418047233694,-2.0755552965408763,257
BTC-USD,1h,8/26/9,20,30,0.02,0.0,-11.328478160869636,661,1.7186418047233694,-2.0755552965408763,257
BTC-USD,1h,8/24/9,30,20,0.02,0.0,-8.349906943418839,366,1.2376543083602327,-2.8429611391154186,127
BTC-USD,1h,8/24/9,30,30,0.015,0.0,-8.46272563785202,366,1.2376543083602327,-2.8429611391154186,127
BTC-USD,1h,8/24/9,30,30,0.02,0.0,-8.289651228405326,366,1.2376543083602327,-2.8429611391154186,127
BTC-USD,1h,8/24/9,30,20,0.015,0.0,-8.7105371895275,366,1.2165257514827832,-2.8450292410361455,127
BTC-USD,4h,12/26/9,25,20,0.015,0.0,-10.430989557068282,108,1.2161084318504605,-2.1983549589942197,34
BTC-USD,4h,12/26/9,25,30,0.015,0.0,-10.605671702583797,108,1.2093973063061654,-2.197875534536553,34
BTC-USD,4h,12/26/9,25,20,0.02,0.0,-10.72047073538458,108,1.1974980868415648,-2.195361121332595,34
BTC-USD,4h,12/26/9,25,30,0.02,0.0,-10.807977449060925,108,1.1974980868415648,-2.195361121332595,34
BTC-USD,4h,12/26/9,30,20,0.015,0.0,-11.774250709115375,80,1.1953356632921353,-2.127716367969057,21
BTC-USD,4h,12/26/9,30,30,0.015,0.0,-11.779545188152795,80,1.1544190010530782,-2.127942677954364,21
BTC-USD,1h,12/24/9,20,20,0.015,0.0,-16.780900337675252,565,1.1031033924457767,-2.2251569670545424,233
BTC-USD,1h,12/24/9,20,20,0.02,0.0,-16.670108399714568,565,1.1031033924457767,-2.2251569670545424,233
BTC-USD,1h,12/24/9,20,30,0.015,0.0,-16.714010796906777,565,1.1031033924457767,-2.2251569670545424,233
BTC-USD,1h,12/24/9,20,30,0.02,0.0,-16.61229528776056,565,1.1031033924457767,-2.2251569670545424,233
BTC-USD,4h,12/26/9,30,20,0.02,0.0,-11.835801385915545,80,1.0892864111706224,-2.1680897487982187,21
BTC-USD,4h,12/26/9,30,30,0.02,0.0,-11.904895981948815,80,1.0892864111706224,-2.1680897487982187,21
BTC-USD,1h,8/26/9,30,20,0.02,0.0,-9.232296270757534,367,1.0135058223007416,-2.998605258078524,131
BTC-USD,1h,8/26/9,30,30,0.015,0.0,-9.330319038201607,367,1.0135058223007416,-2.998605258078524,131
BTC-USD,1h,8/26/9,30,30,0.02,0.0,-9.165949438896082,367,1.0135058223007416,-2.998605258078524,131
BTC-USD,1h,12/26/9,20,20,0.015,0.0,-17.374008958454812,548,0.9985335308895579,-2.1545782575819294,231
BTC-USD,1h,12/26/9,20,20,0.02,0.0,-17.221242081090416,548,0.9985335308895579,-2.1545782575819294,231
BTC-USD,1h,12/26/9,20,30,0.015,0.0,-17.314421669576795,548,0.9985335308895579,-2.1545782575819294,231
BTC-USD,1h,12/26/9,20,30,0.02,0.0,-17.15383973939253,548,0.9985335308895579,-2.1545782575819294,231
BTC-USD,1h,8/26/9,30,20,0.015,0.0,-9.708240560381064,367,0.9979260147169065,-2.9999317388745284,131
BTC-USD,1h,12/24/9,30,20,0.015,0.0,-11.548284148481214,326,0.939539274965167,-2.9496677631242862,120
BTC-USD,1h,12/24/9,30,20,0.02,0.0,-11.18233161101665,326,0.939539274965167,-2.9496677631242862,120
BTC-USD,1h,12/24/9,30,30,0.015,0.0,-11.31438970893871,326,0.939539274965167,-2.9496677631242862,120
BTC-USD,1h,12/24/9,30,30,0.02,0.0,-11.114661003145143,326,0.939539274965167,-2.9496677631242862,120
BTC-USD,4h,12/24/9,30,20,0.015,0.0,-11.554228216925688,83,0.9208736296168673,-1.99239625744142,21
BTC-USD,1h,12/26/9,30,20,0.015,0.0,-12.11943473476078,317,0.8601419174957278,-2.9705031788366476,119
BTC-USD,1h,12/26/9,30,20,0.02,0.0,-11.730556035101113,317,0.8601419174957278,-2.9705031788366476,119
BTC-USD,1h,12/26/9,30,30,0.015,0.0,-11.88745137197893,317,0.8601419174957278,-2.9705031788366476,119
BTC-USD,1h,12/26/9,30,30,0.02,0.0,-11.667811827366847,317,0.8601419174957278,-2.9705031788366476,119
BTC-USD,4h,12/24/9,30,30,0.015,0.0,-11.54288461285139,83,0.8490274043568266,-1.9946973796172607,21
BTC-USD,4h,12/24/9,30,20,0.02,0.0,-11.599073647184998,83,0.7899142622913502,-2.0999952576408742,21
