symbol,tf,macd,adx_thr,vol_lb,tgt_vol,IS_Sharpe,IS_MaxDD,IS_Trades,OOS_Sharpe,OOS_MaxDD,OOS_Trades
BTC-USD,1h,5/24/5,10,20,0.015,0.0,-0.604795642369993,25,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,10,20,0.02,0.0,-0.604795642369993,25,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,10,20,0.03,0.0,-0.604795642369993,25,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,10,20,0.05,0.0,-0.604795642369993,25,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,10,30,0.015,0.0,-0.604795642369993,25,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,10,30,0.02,0.0,-0.604795642369993,25,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,10,30,0.03,0.0,-0.604795642369993,25,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,10,30,0.05,0.0,-0.604795642369993,25,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,10,40,0.015,0.0,-0.559115578046343,23,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,10,40,0.02,0.0,-0.559115578046343,23,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,10,40,0.03,0.0,-0.559115578046343,23,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,10,40,0.05,0.0,-0.559115578046343,23,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,15,20,0.015,0.0,-0.441235989319555,17,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,15,20,0.02,0.0,-0.441235989319555,17,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,15,20,0.03,0.0,-0.441235989319555,17,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,15,20,0.05,0.0,-0.441235989319555,17,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,15,30,0.015,0.0,-0.441235989319555,17,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,15,30,0.02,0.0,-0.441235989319555,17,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,15,30,0.03,0.0,-0.441235989319555,17,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,15,30,0.05,0.0,-0.441235989319555,17,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,15,40,0.015,0.0,-0.3954424397989764,15,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,15,40,0.02,0.0,-0.3954424397989764,15,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,15,40,0.03,0.0,-0.3954424397989764,15,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,15,40,0.05,0.0,-0.3954424397989764,15,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,20,20,0.015,3.3052603120881217,-0.2606665559534038,11,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,20,20,0.02,3.3052603120881217,-0.2606665559534038,11,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,20,20,0.03,3.3052603120881217,-0.2606665559534038,11,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,20,20,0.05,3.3052603120881217,-0.2606665559534038,11,0.0,-0.3368267624100141,14
BTC-USD,1h,5/24/5,20,30,0.015,3.3052603120881217,-0.2606665559534038,11,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,20,30,0.02,3.3052603120881217,-0.2606665559534038,11,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,20,30,0.03,3.3052603120881217,-0.2606665559534038,11,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,20,30,0.05,3.3052603120881217,-0.2606665559534038,11,0.0,-0.3367398116818743,13
BTC-USD,1h,5/24/5,20,40,0.015,2.6612783680181487,-0.26072721727264936,9,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,20,40,0.02,2.6612783680181487,-0.26072721727264936,9,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,20,40,0.03,2.6612783680181487,-0.26072721727264936,9,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,20,40,0.05,2.6612783680181487,-0.26072721727264936,9,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,20,0.015,0.0,-0.25505104609561124,4,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,20,0.02,0.0,-0.25505104609561124,4,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,20,0.03,0.0,-0.25505104609561124,4,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,20,0.05,0.0,-0.25505104609561124,4,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,30,0.015,0.0,-0.25505104609561124,4,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,30,0.02,0.0,-0.25505104609561124,4,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,30,0.03,0.0,-0.25505104609561124,4,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,30,0.05,0.0,-0.25505104609561124,4,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,40,0.015,0.0,-0.25502398392165393,3,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,40,0.02,0.0,-0.25502398392165393,3,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,40,0.03,0.0,-0.25502398392165393,3,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/5,25,40,0.05,0.0,-0.25502398392165393,3,0.0,-0.33653241958984115,10
BTC-USD,1h,5/24/9,10,20,0.015,0.0,-0.6270108995030443,23,0.0,-0.2815729211081641,7
BTC-USD,1h,5/24/9,10,20,0.02,0.0,-0.6270108995030443,23,0.0,-0.2815729211081641,7
BTC-USD,1h,5/24/9,10,20,0.03,0.0,-0.6270108995030443,23,0.0,-0.2815729211081641,7
BTC-USD,1h,5/24/9,10,20,0.05,0.0,-0.6270108995030443,23,0.0,-0.2815729211081641,7
BTC-USD,1h,5/24/9,10,30,0.015,0.0,-0.6270108995030443,23,0.0,-0.2815729211081641,7
BTC-USD,1h,5/24/9,10,30,0.02,0.0,-0.6270108995030443,23,0.0,-0.2815729211081641,7
BTC-USD,1h,5/24/9,10,30,0.03,0.0,-0.6270108995030443,23,0.0,-0.2815729211081641,7
BTC-USD,1h,5/24/9,10,30,0.05,0.0,-0.6270108995030443,23,0.0,-0.2815729211081641,7
BTC-USD,1h,5/24/9,10,40,0.015,0.0,-0.5735033100800146,21,0.0,-0.21773801600000198,4
BTC-USD,1h,5/24/9,10,40,0.02,0.0,-0.5735033100800146,21,0.0,-0.21773801600000198,4
